product_id,product_name,category,subcategory,discounted_price,actual_price,rating,rating_count,sentiment_score,sentiment_category
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals,2.4875,4.3625,4.0,43994,0.2743181818181818,Positive
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers & Accessories,Accessories & Peripherals,2.4875,23.7375,3.9,7928,0.6,Positive
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers & Accessories,Accessories & Peripherals,1.925,4.9875,4.2,16905,0.2627403846153846,Positive
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers & Accessories,Accessories & Peripherals,1.8625,12.5,3.9,24871,0.48666666666666664,Positive
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers & Accessories,Accessories & Peripherals,2.8625,3.7375,4.3,30411,0.3760416666666666,Positive
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers & Accessories,Networking Devices,6.2375,12.4875,4.2,179691,0.2789406713505074,Positive
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers & Accessories,Accessories & Peripherals,2.4875,3.7375,4.0,43994,0.2743181818181818,Positive
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"Home Theater, TV & Video",2.7375,8.75,4.4,426973,0.37478991596638656,Positive
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers & Accessories,Accessories & Peripherals,1.9875,4.9875,4.1,4768,0.4131623931623931,Positive
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers & Accessories,Accessories & Peripherals,4.3625,4.9875,4.4,18757,0.2486111111111111,Positive
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,"Home Theater, TV & Video",174.9875,312.4875,4.2,32840,0.4046153846153846,Positive
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers & Accessories,Accessories & Peripherals,3.1125,4.9875,4.0,43994,0.2743181818181818,Positive
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,"Home Theater, TV & Video",168.625,274.875,4.3,11976,0.37833333333333335,Positive
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers & Accessories,Accessories & Peripherals,12.125,22.4875,4.5,815,0.6524242424242425,Positive
